place,ID,year,police_perc,BIPOC,Region,Population,total_exp,all_crimjustice_perc,corr_perc
Aitkin,27001,2018,0.122504275,0.060376405,Greater Minnesota,15896,27959759,0.228121959,0.105617684
Anoka,27003,2018,0.164404106,0.179710504,Twin Cities suburbs,357851,260931659,0.257679518,0.093275412
Becker,27005,2018,0.09352872,0.135700115,Greater Minnesota,34420,44005574,0.183091283,0.089562563
Beltrami,27007,2018,0.063908797,0.27829217,Greater Minnesota,46834,70849104,0.128748516,0.064839719
Benton,27009,2018,0.127134409,0.093466402,Greater Minnesota,40452,33787045,0.246320476,0.119186067
Big Stone,27011,2018,0.113634895,0.024720893,Greater Minnesota,5000,9517323,0.118351452,0.004716557
Blue Earth,27013,2018,0.094899681,0.116612889,Greater Minnesota,67785,66504365,0.196896865,0.101997185
Brown,27015,2018,0.08273568,0.063900678,Greater Minnesota,25325,28577042,0.196963598,0.114227918
Carlton,27017,2018,0.095101045,0.118261114,Greater Minnesota,35923,48939052,0.179533331,0.084432285
Carver,27019,2018,0.212854522,0.107532664,Twin Cities suburbs,105970,96902973,0.232996515,0.020141993
Cass,27021,2018,0.139351936,0.169733306,Greater Minnesota,29470,45847831,0.193742993,0.054391057
Chippewa,27023,2018,0.074468085,0.12173189,Greater Minnesota,11965,19190946,0.142941885,0.0684738
Chisago,27025,2018,0.142525074,0.063862444,Greater Minnesota,55955,44556539,0.248048418,0.105523344
Clay,27027,2018,0.104076768,0.122131813,Greater Minnesota,63963,51743584,0.24171936,0.137642592
Clearwater,27029,2018,0.16038201,0.151838402,Greater Minnesota,8815,15388403,0.172446095,0.012064085
Cook,27031,2018,0.123493103,0.141969497,Greater Minnesota,5390,19400379,0.153293191,0.029800088
Cottonwood,27033,2018,0.098536209,0.134628913,Greater Minnesota,11293,14845700,0.198210256,0.099674047
Crow Wing,27035,2018,0.129083573,0.049675045,Greater Minnesota,64975,66547050,0.268548749,0.139465175
Dakota,27037,2018,0.083926235,0.209504521,Twin Cities suburbs,428558,264209589,0.16001811,0.076091875
Dodge,27039,2018,0.234771239,0.07734914,Greater Minnesota,20842,19684809,0.275484004,0.040712765
Douglas,27041,2018,0.132866583,0.039378545,Greater Minnesota,38041,37061757,0.252296215,0.119429632
Faribault,27043,2018,0.084372461,0.087795049,Greater Minnesota,13649,19650535,0.180781694,0.096409233
Fillmore,27045,2018,0.173373962,0.034708924,Greater Minnesota,21063,19732196,0.195752718,0.022378756
Freeborn,27047,2018,0.108334518,0.142468715,Greater Minnesota,30495,39330493,0.235228707,0.126894189
Goodhue,27049,2018,0.145464013,0.078347794,Greater Minnesota,46540,48502395,0.277937801,0.132473788
Grant,27051,2018,0.139168848,0.047153924,Greater Minnesota,5975,12344573,0.151362708,0.01219386
Hennepin,27053,2018,0.074925196,0.308369716,Core counties,1261104,1443521392,0.16004503,0.085119835
Houston,27055,2018,0.091906256,0.038096769,Greater Minnesota,18659,21984423,0.183581939,0.091675683
Hubbard,27057,2018,0.086447353,0.0698399,Greater Minnesota,21350,30047606,0.182763878,0.096316525
Isanti,27059,2018,0.194797648,0.059809104,Greater Minnesota,39932,40242221,0.224724252,0.029926604
Itasca,27061,2018,0.101793555,0.081189302,Greater Minnesota,45191,74759399,0.169024098,0.067230543
Jackson,27063,2018,0.092169357,0.073255698,Greater Minnesota,9934,18720788,0.161117203,0.068947846
Kanabec,27065,2018,0.101007913,0.049550112,Greater Minnesota,16213,25804612,0.241398863,0.14039095
Kandiyohi,27067,2018,0.092853286,0.190374607,Greater Minnesota,42924,63691241,0.229214611,0.136361325
Kittson,27069,2018,0.131891838,0.043809085,Greater Minnesota,4260,8448400,0.148975782,0.017083945
Koochiching,27071,2018,0.115118687,0.067146473,Greater Minnesota,12630,21701898,0.141635077,0.02651639
Lac qui Parle,27073,2018,0.065941553,0.04754171,Greater Minnesota,6662,11423768,0.106360266,0.040418713
Lake,27075,2018,0.10103067,0.045605071,Greater Minnesota,10590,22729108,0.174443317,0.073412648
Lake of the Woods,27077,2018,0.091902581,0.069572066,Greater Minnesota,3801,10515363,0.147812872,0.05591029
Le Sueur,27079,2018,0.085244719,0.08530179,Greater Minnesota,28432,29355930,0.157291287,0.072046568
Lincoln,27081,2018,0.137732331,0.035745576,Greater Minnesota,5679,9779062,0.143147778,0.005415448
Lyon,27083,2018,0.24243813,0.156275398,Greater Minnesota,25700,20473244,0.268798731,0.0263606
Mahnomen,27087,2018,0.232413449,0.542317472,Greater Minnesota,5526,11400132,0.241435713,0.009022264
Marshall,27089,2018,0.152680445,0.065481261,Greater Minnesota,9384,14976037,0.163188833,0.010508387
Martin,27091,2018,0.122679015,0.067170908,Greater Minnesota,19822,23492885,0.215202858,0.092523843
McLeod,27085,2018,0.102502893,0.0882903,Greater Minnesota,35959,35980038,0.13660333,0.034100436
Meeker,27093,2018,0.201374086,0.058104771,Greater Minnesota,23169,26172022,0.222740261,0.021366175
Mille Lacs,27095,2018,0.168247761,0.108830846,Greater Minnesota,26080,34689484,0.293911896,0.125664135
Morrison,27097,2018,0.105318634,0.04200431,Greater Minnesota,33191,37736437,0.184932059,0.079613425
Mower,27099,2018,0.112041576,0.203499823,Greater Minnesota,40017,39988736,0.273500543,0.161458967
Murray,27101,2018,0.15300749,0.066203759,Greater Minnesota,8293,12830934,0.165537676,0.012530187
Nicollet,27103,2018,0.087761475,0.109581742,Greater Minnesota,34189,34010014,0.164300491,0.076539016
Nobles,27105,2018,0.081337891,0.399789368,Greater Minnesota,22021,26524071,0.195953555,0.114615664
Norman,27107,2018,0.091407773,0.104131727,Greater Minnesota,6518,11586181,0.132694026,0.041286253
Olmsted,27109,2018,0.091150239,0.194466403,Greater Minnesota,157446,165377514,0.256715257,0.165565018
Otter Tail,27111,2018,0.100779409,0.07232032,Greater Minnesota,58735,64782767,0.189207803,0.088428393
Pennington,27113,2018,0.128209035,0.090665539,Greater Minnesota,14276,16460205,0.245167238,0.116958203
Pine,27115,2018,0.140665469,0.105633561,Greater Minnesota,29490,33137877,0.284290481,0.143625013
Pipestone,27117,2018,0.157526898,0.114207948,Greater Minnesota,9100,12142612,0.211329243,0.053802345
